time,u,y
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,40,0
3.2,40,0
3.3,40,0
3.4,40,49.4579
3.5,40,63.6269
3.6,40,64.1616
3.7,40,63.8942
3.8,40,64.1616
3.9,40,64.1616
4,40,63.8942
4.1,40,64.1616
4.2,40,64.1616
4.3,40,64.1616
4.4,40,63.8942
4.5,40,64.1616
4.6,40,63.8942
4.7,40,63.8942
4.8,40,64.1616
4.9,40,64.1616
5,40,64.1616
5.1,40,63.8942
5.2,40,64.1616
5.3,40,63.8942
5.4,40,64.1616
5.5,40,63.8942
5.6,40,64.1616
5.7,40,64.1616
5.8,40,64.1616
5.9,40,64.4289
6,40,64.1616
6.1,40,64.1616
6.2,40,63.8942
6.3,40,64.4289
6.4,40,63.8942
6.5,40,63.8942
6.6,40,64.1616
6.7,40,64.1616
6.8,40,64.4289
6.9,40,63.8942
7,40,64.1616
7.1,40,64.1616
7.2,40,64.1616
7.3,40,64.1616
7.4,40,63.6269
7.5,40,64.1616
7.6,40,64.1616
7.7,40,64.1616
7.8,40,64.1616
7.9,40,63.8942
8,40,64.1616
8.1,40,64.1616
8.2,40,64.1616
8.3,40,63.8942
8.4,40,64.1616
8.5,40,64.1616
8.6,40,64.1616
8.7,40,64.1616
8.8,40,63.8942
8.9,40,63.8942
9,40,63.8942
9.1,40,64.1616
9.2,40,63.8942
9.3,40,64.1616
9.4,40,64.1616
9.5,40,64.1616
9.6,40,64.1616
9.7,40,64.1616
9.8,40,64.1616
9.9,40,63.8942
10,40,64.1616
